title,created_at,content,score
"Genting's RM5b energy venture to create earnings over longer term, analysts say",2024-06-21 13:51:01+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (June 21): Potential earnings from Genting Bhd's (KL:GENTING) nearly RM5 billion expansion of its energy business will trickle in over the longer term, said analysts.</p></div>

<div class=newsTextDataWrapInner><p>Genting’s investment in a 1,490-megawatt gas-fired power plant project in China that comes with “reasonable” internal rate of returns of 8%-15% will be accretive to earnings and equity valuation, given that most of the cost will be debt financed, said Maybank Investment Bank.</p></div>

<div class=newsTextDataWrapInner><p>On Thursd",0.016129032258064516
Genting Plantations buys two Indonesian plots for RM593m for property development,2024-07-19 21:47:02+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (July 19): Genting Plantations Bhd (KL:GENP), in which Genting Bhd (KL:GENTING) owns a 55.4% stake, is planning to buy two plots of land in Indonesia for RM593 million, for property development.</p></div>

<div class=newsTextDataWrapInner><p>The plots, measuring 152ha, are located in Sentul City, in the Bogor Regency of the West Java Province in Jakarta, according to GENP's bourse filing on Friday.</p></div>

<div class=newsTextDataWrapInner><p>The plantation group said its indirect subsidiaries had inked separate sale and purchase agreement",0.015873015873015872
Genting’s new FLNG facility to boost annual earnings by RM613m from FY2027 — CIMB,2024-09-13 12:19:35+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Sept 13): Genting Bhd’s (KL:<a href=""/askedge/klse/3182"" class=""ce-stock"" target=""_blank"">GENTING</a>) new floating liquefied natural gas (FLNG) facility could potentially add RM613 million per annum to its net profit from FY2027 onwards, and RM1.27 per share to fair value.&nbsp;</p></div>

<div class=newsTextDataWrapInner><p>“We estimate it (the FLNG) could contribute a revenue of US$704 million (RM3.1 billion) per annum (p.a.), based on annual production of 65.2 MMBtu (one million British thermal units) and an LNG price of US$10.80/mmbtu (1",0.015625
Genting Malaysia units issue additional US$100m senior notes,2024-09-17 17:21:42+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Sept 17): Two of Genting Malaysia Bhd’s (KL:<a href=""/askedge/klse/4715"" class=""ce-stock"" target=""_blank"">GENM</a>) subsidiaries, video lottery facility operator Genting New York LLC (Genny) and its unit Genny Capital Inc, have priced an additional US$100 million (RM427 million) of 7.25% senior unsecured notes, due 2029.</p></div>

<div class=newsTextDataWrapInner><p>This came after the two indirect wholly-owned units priced an offering of US$525 million of 7.25% senior unsecured notes, also due 2029, last Tuesday.</p></div>

<div class=new",0.015384615384615385
Genting Malaysia posts RM58m net profit in 1Q on improved leisure and hospitality business,2024-05-30 23:36:36+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (May 30): Genting Malaysia Bhd (GenM) (KL:GENM) posted a first quarter net profit of RM57.78 million, compared to a net loss of RM27.38 million a year earlier, on the back of higher revenue from its leisure and hospitality business.</p></div>

<div class=newsTextDataWrapInner><p>Net profit for the quarter ended March 31, 2024 (1QFY2024), however, came in lower than the two preceding quarters — RM177.41 million in 3QFY2023 and RM239.64 million in 4QFY2023.</p></div>

<div class=newsTextDataWrapInner><p>GenM's net profit in the pre-pandemic ye",0.015151515151515152
"Genting posts RM150 mil net profit in 4QFY2023, declares nine sen final dividend",2024-03-01 00:04:00+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Feb 29): Genting Bhd posted a net profit of RM150.1 million in the fourth financial quarter ended Dec 31, 2023 (4QFY2023), down 71.2% from the preceding quarter.&nbsp;</p></div>

<div class=newsTextDataWrapInner><p>However, the quarterly net profit is a contrast to a net loss of RM168.72 million a year ago, according to its bourse filing.&nbsp;</p></div>

<div class=newsTextDataWrapInner><p>Earnings per share stood at 6.82 sen against a loss per share of 3.41 sen in 4QFY2022. Quarterly revenue grew 14.2% to RM7.27 billion from RM6.36 billio",0.014925373134328358
"Genting gets target price upgraded after ""expected"" results",2024-05-31 10:00:21+00:00,"<div itemprop=""articleBody"" class=""dable-content-wrapper""><p>KUALA LUMPUR: Hong Leong Investment Bank Bhd (HLIB) has raised its target price for Genting Bhd following its first quarter results that come in within expectations.  </p><p>HLIB said Genting is on track for sustained recovery momentum, with multiple factors in play contributing to its positive outlook. </p><p>It noted that the group is expected to benefit from the continued recovery in foreign visitations at both Resorts World Genting and Resorts World Sentosa, driven by the increasing frequencies of global flights, as well as the v",0.014705882352941176
Genting Malaysia denies involvement in talks for Forest City casino,2024-04-27 18:02:09+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (April 27): Genting Malaysia Bhd has dismissed reports linking the group and its deputy chairman and chief executive Tan Sri Lim Kok Thay to supposed discussions relating to the opening of a second casino for Malaysia in Forest City, Johor, to revive the US$100 billion (RM477.60 billion) development.</p></div>

<div class=newsTextDataWrapInner><p>""Genting Malaysia&nbsp;wishes to state that neither the company nor Lim was involved in any such discussions or meetings, and the claims made were untrue,"" it said in a statement on Saturday, after th",0.014492753623188406
Frankly speaking: Genting Malaysia’s endless capital injections into Empire Resorts,2024-01-15 14:03:57+00:00,"<div class=newsTextDataWrapInner><p><span style=""font-style: italics;"">This article first appeared in The Edge Malaysia Weekly on January 15, 2024 - January 21, 2024</span></p></div><div class=newsTextDataWrapInner><p>Genting Malaysia Bhd’s share price took a beating in August 2019 when it bought a 49% equity stake in financially stressed Empire Resorts Inc, which owns a casino-­resort in Sullivan County, about 90 miles from New York City.</p></div>

<div class=newsTextDataWrapInner><p>It bought the stake from its controlling shareholder Tan Sri Lim Kok Thay for US$128 million (RM538 million",0.014285714285714285
"Genting commissions RM4.5b floating LNG facility for use in West Papua, Indonesia",2024-06-20 17:01:32+00:00,"<div itemprop=""articleBody"" class=""dable-content-wrapper""><p>KUALA LUMPUR: Genting Bhd today announced that two of units have joined forces to commission a US$962 million (RM4.5 billion) floating liquefied natural gas (LNG) facility to be used in West Papua, Indonesia.</p><p>The facility will have a 1.2 million metric tons per annum capacity, the company said in a filing with Bursa Malaysia Securities.</p><p>Trading in Genting&#039;s share price was halted from 4.20pm today following the announcement.</p><p>More to come</p></div>",0.014084507042253521
Resorts World Genting to sign five MOUs worth RM12 mil at inaugural Genting SustainBiz F&B Expo,2024-09-10 21:03:56+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Sept 10): Resorts World Genting (RWG), owned and operated by Genting Malaysia Bhd (KL:<a href=""/askedge/klse/4715"" class=""ce-stock"" target=""_blank"">GENM</a>), is set to sign a total of five memorandum of understandings (MOUs) worth RM12 million at its first sustainability focused exhibition, Genting SustainBiz F&amp;B Expo at Genting International Convention Centre.</p></div>

<div class=newsTextDataWrapInner><p>The Genting SustainBiz F&amp;B Expo, which commenced on Tuesday until Thursday (Sept 12), kicked off with the signing of the first M",0.013888888888888888
"HLIB says Genting is undervalued, target price RM7.12",2024-05-10 08:50:50+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (May 10): Hong Leong Investment Bank (HLIB) Research has a “trading buy” rating on Genting Bhd (KL:GENTING) at RM4.52 with a target price of RM7.12 and said it continues to like Genting for its well-established operational presence across diverse regions, mitigating regulatory and country risks.</p></div>

<div class=newsTextDataWrapInner><p>In a technical tracker on Friday, the research house said that at its present valuation, Genting is undervalued as it does not sufficiently capture the potential recovery of both Genting Singapore (GENS) a",0.0136986301369863
Strong recovery on hospitality segment brings Genting’s 4QFY2024 net profit back to pre-pandemic level of RM558 mil,2024-05-30 21:02:25+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (May 30): Genting Bhd (KL:GENTING) said its net profit for the first quarter ended March 31, 2024 (1QFY2024) surged several folds, mainly contributed by its leisure and hospitality segment in Malaysia and Singapore.</p></div>

<div class=newsTextDataWrapInner><p>The diversified conglomerate’s net profit made a big leap to RM588.87 million from RM98.04 million, while quarterly revenue jumped 27.6% to RM7.43 billion from RM5.82 billion.&nbsp;</p></div>

<div class=newsTextDataWrapInner><p>Genting did not declare any dividend for the quarter un",0.013513513513513514
Genting Malaysia to inject US$100m into Empire Resorts,2024-01-11 09:40:18+00:00,"<div itemprop=""articleBody"" class=""dable-content-wrapper""><p>KUALA LUMPUR: Genting Malaysia Bhd (GENM) plans to inject up to US$100 million (RM456m) into Empire Resorts Inc (Empire) via its subsidiary, Genting ER II LLC (GERL).</p><p>In its filing with Bursa Malaysia, the company said the proposed injection involves subscribing to US$100 million worth of Series M Preferred Stock of Empire by Genting Malaysia&#039;s subsidiary.</p><p>""The proceeds from the Series M subscription will be utilised by Empire for working capital purposes and to fully repay an existing bank facility of approximately ",0.013333333333333334
Genting Malaysia's units price US$525 mil senior notes offering,2024-09-11 20:54:58+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Sept 11): Genting Malaysia Bhd’s (KL:<a href=""/askedge/klse/4715"" class=""ce-stock"" target=""_blank"">GENM</a>) indirect wholly-owned subsidiaries, video lottery facility operator Genting New York LLC (Genny) and its unit Genny Capital Inc, have priced their offering of US$525 million (RM2.28 billion) aggregate principal amount of 7.25% senior unsecured notes due 2029.</p></div>

<div class=newsTextDataWrapInner><p>The resort operator said the offering is being undertaken by Genny to refinance existing indebtedness.</p></div>

<div class=newsT",0.013157894736842105
"Genting, Genting Malaysia among top gainers in early trade",2024-01-08 13:18:42+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 8): Genting Bhd was among the top gainers in early trade on Monday as investors cheered the potential upside from cheaper exposure to its 52.63%-owned Genting Singapore Ltd, which has recovered to above pre-Covid-19 levels.</p></div>

<div class=newsTextDataWrapInner><p>Additionally, positive sentiments arose from the secondary exposure to Genting Malaysia Bhd's (GenM) Resorts World New York City Casino (RWNYC), which could win a down-state commercial casino licence in New York City, according to analysts.</p></div>

<div class=newsText",0.012987012987012988
"Genting’s 2Q net profit up 49% on non-operating gain, lower share of losses",2024-08-29 21:36:15+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Aug 29): Gaming-to-plantation conglomerate Genting Bhd (KL:GENTING) reported a 49% jump in its second-quarter net profit partly helped by other non-operating gain and a reduction in the share of losses.</p></div>

<div class=newsTextDataWrapInner><p>Net profit for the three months ended June 30, 2024 (2QFY2024) was RM239.66 million, compared with RM160.55 million for the same period a year earlier. Revenue rose 3% year-on-year to RM6.86 billion from RM6.66 billion due to contribution from the leisure and hospitality division.</p></div>

<di",0.01282051282051282
Genting to operate Indonesia’s first floating LNG facility; awards US$1 bil EPCC works to China’s Wison,2024-06-20 17:21:21+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (June 20): Genting Bhd (KL:GENTING) on Thursday awarded a US$1 billion contract to Wison New Energies Co Ltd for the construction of a floating liquefied natural gas (FLNG) facility that will be deployed at Teluk Bintuni, West Papua.</p></div>

<div class=newsTextDataWrapInner><p>The LNG facility is expected to have an annual capacity of up to 1.2 million tonnes. The tenure of the contract is estimated to last 27 months, Genting said in a statement.</p></div>

<div class=newsTextDataWrapInner><p>The first drop of LNG is expected in the third",0.012658227848101266
Genting to invest RM277 mil for another power plant in China,2024-06-20 16:49:28+00:00,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (June 20): Genting Bhd (KL:GENTING) on Thursday proposed to acquire a 49% equity interest in SDIC Jineng (ZhouShan) Gas Power Generation Co Ltd, which is developing up to 1,490 megawatt (MW) capacity gas-fired power plant in ZhouShan, eastern China’s Zhejiang province.</p></div>

<div class=newsTextDataWrapInner><p>Genting is buying the 49% equity interest in SDIC Jineng from Jineng International Energy Co Ltd for 100 million yuan (RM64.87 million).&nbsp;</p></div>

<div class=newsTextDataWrapInner><p>Additionally, Genting estimates that a f",0.0125
